City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Ostersund,SE,63.1792,14.6357,28.0,74,26,8.05,scattered clouds
154,Alice Springs,AU,-23.7,133.8833,73.99,28,0,16.11,clear sky
155,Georgetown,MY,5.4112,100.3354,82.4,89,20,5.75,few clouds
156,Minas,UY,-34.3759,-55.2377,64.4,68,20,16.11,few clouds
157,Victoria,HK,22.2855,114.1577,75.0,78,100,4.0,overcast clouds
158,Chitral,PK,35.8462,71.7858,56.68,41,3,7.05,clear sky
159,Xuanzhou,CN,30.9525,118.7553,61.47,95,100,1.19,overcast clouds
160,Omboue,GA,-1.5746,9.2618,79.05,84,62,3.85,broken clouds
161,Tecoanapa,MX,16.5167,-98.75,82.29,74,71,4.34,broken clouds
162,Meadow Lake,US,34.8014,-106.5436,81.0,4,75,12.66,broken clouds
163,Lianyuan,CN,27.6883,111.6642,59.99,90,100,1.32,overcast clouds
164,Kodiak,US,57.79,-152.4072,42.8,81,90,8.05,overcast clouds
165,Hasaki,JP,35.7333,140.8333,57.0,30,20,18.41,few clouds
166,Juneau,US,58.3019,-134.4197,62.6,20,20,8.05,few clouds
167,Mahebourg,MU,-20.4081,57.7,75.2,94,75,11.5,light rain
168,Sitka,US,57.0531,-135.33,57.2,44,1,3.44,clear sky
169,Maputo,MZ,-25.9653,32.5892,70.0,88,0,4.61,clear sky
170,Arraial Do Cabo,BR,-22.9661,-42.0278,74.26,84,81,10.51,broken clouds
171,Cozumel,MX,20.5083,-86.9458,82.0,78,1,4.61,clear sky
172,Freeport,US,40.6576,-73.5832,57.99,62,1,6.89,clear sky
173,Ifanadiana,MG,-21.3,47.6333,65.34,98,100,1.83,overcast clouds
174,Xining,CN,36.6167,101.7667,40.98,69,53,5.28,broken clouds
175,Chapais,CA,49.7834,-74.8492,32.0,93,90,17.27,light snow
176,Sao Filipe,CV,14.8961,-24.4956,71.74,71,100,8.57,overcast clouds
177,Luderitz,NA,-26.6481,15.1594,61.43,91,96,3.06,overcast clouds
178,Pangkalanbuun,ID,-2.6833,111.6167,83.62,71,52,3.38,broken clouds
179,Palmares Do Sul,BR,-30.2578,-50.5097,67.46,58,96,14.99,overcast clouds
180,Sa Kaeo,TH,13.75,102.3333,81.64,77,93,5.53,overcast clouds
181,Pevek,RU,69.7008,170.3133,23.61,88,99,7.47,overcast clouds
182,Liepaja,LV,56.5419,21.0367,35.6,87,90,4.61,overcast clouds
183,Nizhneangarsk,RU,55.7833,109.55,33.78,66,100,6.44,overcast clouds
184,Grootfontein,NA,-19.5667,18.1167,57.0,34,0,4.32,clear sky
185,Mount Gambier,AU,-37.8333,140.7667,57.2,88,90,3.47,overcast clouds
186,Yellowknife,CA,62.456,-114.3525,10.0,78,90,10.36,light snow
187,Plainview,US,40.7765,-73.4673,55.99,62,1,4.59,clear sky
188,Henties Bay,NA,-22.116,14.2845,61.0,92,6,1.01,clear sky
189,Souillac,MU,-20.5167,57.5167,75.2,94,75,11.5,light rain
190,Foz Do Iguacu,BR,-25.5478,-54.5881,66.2,100,40,3.44,light rain
191,Tadine,NC,-21.55,167.8833,75.33,77,100,12.19,overcast clouds
192,Ponta Do Sol,PT,32.6667,-17.1,57.99,86,55,4.0,broken clouds
193,West Plains,US,36.7281,-91.8524,66.2,52,1,10.36,clear sky
194,Pangnirtung,CA,66.1451,-65.7125,30.67,85,96,4.74,overcast clouds
195,Acapulco,MX,16.8634,-99.8901,82.4,78,90,5.75,overcast clouds
196,Idar,DE,49.7167,7.3,37.99,69,0,5.75,clear sky
197,Bilibino,RU,68.0546,166.4372,22.46,79,100,3.06,overcast clouds
198,Jinka,ET,5.65,36.65,61.52,94,100,2.3,light rain
199,Aksu,CN,41.1231,80.2644,55.04,30,6,6.26,clear sky
200,Caravelas,BR,-17.7125,-39.2481,76.01,82,4,6.98,clear sky
201,Fort Morgan,US,40.2503,-103.8,73.4,15,1,10.36,clear sky
202,Bokoro,TD,12.3807,17.0568,83.8,36,30,8.39,scattered clouds
203,Havelock,US,34.8791,-76.9013,57.99,77,1,3.42,clear sky
204,Beloha,MG,-25.1667,45.05,70.43,74,0,5.86,clear sky
205,Sechura,PE,-5.5569,-80.8222,71.62,71,85,18.12,overcast clouds
206,Dharchula,IN,29.85,80.5333,63.21,28,0,8.23,clear sky
207,Coquimbo,CL,-29.9533,-71.3436,55.4,88,0,3.44,clear sky
208,Valdivia,CL,-39.8142,-73.2459,46.4,100,40,0.11,scattered clouds
209,Chicama,PE,-7.8447,-79.1469,64.4,88,14,12.66,few clouds
210,Russell,US,32.3502,-85.1999,69.8,67,1,5.75,clear sky
211,Baracoa,CU,20.3467,-74.4958,77.76,84,60,4.03,broken clouds
212,Songea,TZ,-10.6833,35.65,66.2,94,40,5.75,scattered clouds
213,Wanaka,NZ,-44.7,169.15,46.99,88,100,3.0,overcast clouds
214,Naze,JP,28.3667,129.4833,75.2,57,75,16.11,broken clouds
215,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,19.57,light rain
216,Lerwick,GB,60.1545,-1.1494,41.0,93,100,5.75,overcast clouds
217,Kalianget,ID,-7.05,113.9333,84.04,67,19,12.26,few clouds
218,La Ronge,CA,55.1001,-105.2842,37.4,41,100,9.22,overcast clouds
219,Avera,US,33.194,-82.5271,69.8,68,90,5.88,overcast clouds
220,Luoyang,CN,34.6836,112.4536,61.48,68,97,5.48,moderate rain
221,Jarinu,BR,-23.1014,-46.7283,71.6,64,0,3.44,clear sky
222,Jodhpur,IN,26.2867,73.03,79.88,10,0,5.7,clear sky
223,Orotukan,RU,62.2667,151.7,16.43,68,14,4.43,few clouds
224,Narsaq,GL,60.9167,-46.05,50.0,32,75,33.38,broken clouds
225,Qasigiannguit,GL,68.8193,-51.1922,48.2,46,20,19.57,few clouds
226,Tiksi,RU,71.6872,128.8694,28.2,95,100,7.31,light snow
227,Kidal,ML,18.4411,1.4078,86.13,7,4,3.53,clear sky
228,Jesus Maria,AR,-30.9815,-64.0942,62.01,87,0,5.75,clear sky
229,Codrington,AU,-38.2667,141.9667,61.41,63,100,8.23,overcast clouds
230,Acarau,BR,-2.8856,-40.12,77.72,80,6,8.93,clear sky
231,Eenhana,NA,-17.4667,16.3333,64.4,55,0,2.3,clear sky
232,Gazanjyk,TM,39.2446,55.5154,71.28,41,0,1.77,clear sky
233,Kirakira,SB,-10.4544,161.9205,84.27,75,78,1.05,broken clouds
234,Berlevag,NO,70.8578,29.0864,30.02,84,99,14.56,overcast clouds
235,Yenagoa,NG,4.9247,6.2642,78.46,88,86,2.57,overcast clouds
236,Sol-Iletsk,RU,51.1631,54.9918,39.78,59,83,3.11,broken clouds
