City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Waingapu,ID,81.93,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
372,Meulaboh,ID,79.09,overcast clouds,4.1363,96.1285,Kost Pria
375,Bilma,NE,86.45,clear sky,18.6853,12.9164,Expeditions Ténére voyages
380,Mattru,SL,77.5,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
382,Bambous Virieux,MU,75.2,light rain,-20.3428,57.7575,Casa Tia Villa
384,Poum,NC,77.2,broken clouds,-20.2333,164.0167,Gîte kajeon
390,Dutse,NG,81.18,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
392,Cabo San Lucas,MX,79.0,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
396,Hirara,JP,75.2,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
397,Port Hedland,AU,78.8,clear sky,-20.3167,118.5667,The Esplanade Hotel
402,Dingle,PH,85.23,light rain,10.9995,122.6711,SEGAYA PROPERTY
403,Nhulunbuy,AU,82.4,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
405,Takoradi,GH,79.74,overcast clouds,4.8845,-1.7554,Raybow International Hotel
407,Cap Malheureux,MU,75.0,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
